DRUG,GENE,MUTATION,POSITION,GENE_TYPE,VARIANT_AFFECTS,VARIANT_TYPE,INDEL_1,INDEL_2,INDEL_3,GENBANK_REFERENCE,TEST_PREDICTION
DRUG_A,M2,L73?,73,GENE,CDS,SNP,,,,NC_004148.2,R
DRUG_A,M2,*=,*,GENE,CDS,SNP,,,,NC_004148.2,S
DRUG_A,M2,*?,*,GENE,CDS,SNP,,,,NC_004148.2,U
DRUG_A,M2,-*?,*,GENE,PROM,SNP,,,,NC_004148.2,U
DRUG_A,M2,*_indel,*,GENE,CDS,INDEL,,,,NC_004148.2,U
DRUG_A,M2,-*_indel,*,GENE,PROM,INDEL,,,,NC_004148.2,U
DRUG_B,M2,*=,*,GENE,CDS,SNP,,,,NC_004148.2,S
DRUG_B,M2,*?,*,GENE,CDS,SNP,,,,NC_004148.2,U
DRUG_B,M2,-*?,*,GENE,PROM,SNP,,,,NC_004148.2,U
DRUG_B,M2,*_indel,*,GENE,CDS,INDEL,,,,NC_004148.2,U
DRUG_B,M2,-*_indel,*,GENE,PROM,INDEL,,,,NC_004148.2,U
DRUG_B,M2,*_fs,*,GENE,CDS,INDEL,,,,NC_004148.2,R
